nct_id,tumor_type,facility,status,city,state,zip,country,lat,lon,contact_name,contact_phone,contact_email
NCT00001823,colorectal,National Institutes of Health Clinical Center,RECRUITING,Bethesda,Maryland,20892,United States,38.98067,-77.10026,For more information at the NIH Clinical Center contact National Cancer Institute Referral Office,888-624-1937,
NCT00005095,breast,Robert H. Lurie Comprehensive Cancer Center at Northwestern University,RECRUITING,Chicago,Illinois,60611-3013,United States,41.85003,-87.65005,Clinical Trials Office - Robert H. Lurie Comprehensive Cancer,312-695-1301,cancer@northwestern.edu
NCT00034216,breast,National Institutes of Health Clinical Center,RECRUITING,Bethesda,Maryland,20892,United States,38.98067,-77.10026,National Cancer Institute Referral Office,888-624-1937,ncimo_referrals@mail.nih.gov
NCT00291096,breast,University of Kansas Medical Center,RECRUITING,Kansas City,Kansas,66160,United States,39.11417,-94.62746,"Carol J Fabian, MD",,
NCT00301119,nsclc,NYU Cancer Institute at New York University Medical Center,RECRUITING,New York,New York,10016,United States,40.71427,-74.00597,"James J. Tsay, MD, MSc",212-598-6351,Jun-Chieh.Tsay@nyulangone.org
NCT00353483,breast,Washington University School of Medicine,RECRUITING,St Louis,Missouri,63119,United States,38.62727,-90.19789,"Rebecca Aft, MD, PhD",314-747-0063,aftr@wustl.edu
NCT00451022,breast,National Institutes of Health Clinical Center,RECRUITING,Bethesda,Maryland,20892,United States,38.98067,-77.10026,For more information at the NIH Clinical Center contact Office of Patient Recruitment (OPR),800-411-1222,ccopr@nih.gov
NCT00471978,nsclc,Massachusetts General Hospital,RECRUITING,Boston,Massachusetts,02114,United States,42.35843,-71.05977,Clinical Trials Office - Massachusetts General Hospital,877-726-5130,
NCT00471978,nsclc,Harvard School of Public Health,RECRUITING,Boston,Massachusetts,02115,United States,42.35843,-71.05977,"David C. Christiani, MD",617-726-9274,
NCT00477100,breast,Banner - MD Anderson Cancer Center,RECRUITING,Gilbert,Arizona,85234,United States,33.35283,-111.78903,"Shakeela Bahadur, MD",480-256-6444,shakeela.bahadur@bannerhealth.com
NCT00477100,breast,Scripps - MD Anderson Cancer Center,ACTIVE_NOT_RECRUITING,La Jolla,California,92037,United States,32.84727,-117.2742,,,
NCT00477100,breast,Banner - MD Anderson Cancer Center - Northern Colorado,RECRUITING,Greeley,Colorado,80631,United States,40.42331,-104.70913,"Esther Mondo, MD",970-820-5958,Esther.Mondo@BannerHealth.com
NCT00477100,breast,Baptist - MD Anderson Cancer Center,RECRUITING,Jacksonville,Florida,32207,United States,30.33218,-81.65565,"Cynthia Anderson, MD",904-202-7300,cynthia.anderson@bmcjax.com
NCT00477100,breast,Covenant Medical Center,ACTIVE_NOT_RECRUITING,Saginaw,Michigan,48604,United States,43.41947,-83.95081,,,
NCT00477100,breast,M D Anderson Cancer Center,RECRUITING,Houston,Texas,77030,United States,29.76328,-95.36327,Vicente Valero,713-563-0751,vvalero@mdanderson.org
NCT00477100,breast,MD Anderson in Katy,RECRUITING,Houston,Texas,77094,United States,29.76328,-95.36327,Vicente Valero,713-563-0751,vvalero@mdanderson.org
NCT00477100,breast,MD Anderson League City,RECRUITING,Nassau Bay,Texas,77058,United States,29.54468,-95.09104,Vicente Valero,713-563-0751,vvalero@mdanderson.org
NCT00477100,breast,MD Anderson in Sugar Land,RECRUITING,Sugar Land,Texas,77478,United States,29.61968,-95.63495,Vicente Valero,713-560-0751,vvalero@mdanderson.org
NCT00477100,breast,MD Anderson in The Woodlands,RECRUITING,The Woodlands,Texas,77384,United States,30.15799,-95.48938,Vicente Valero,713-563-0751,vvalero@mdanderson.org
NCT00582621,colorectal,Memorial Sloan Kettering Basking Ridge,RECRUITING,Basking Ridge,New Jersey,07920,United States,40.70621,-74.54932,"Kenneth Offit, MD, MPH",646-888-4050,
NCT00582621,colorectal,Memorial Sloan Kettering Monmouth,RECRUITING,Middletown,New Jersey,07748,United States,40.39428,-74.11709,"Kenneth Offit, MD, MPH",646-888-4050,
NCT00582621,colorectal,Memorial Sloan Kettering Commack,RECRUITING,Commack,New York,11725,United States,40.84288,-73.29289,"Kenneth Offit, MD, MPH",646-888-4050,
NCT00582621,colorectal,Memorial Sloan Kettering Westchester,RECRUITING,Harrison,New York,10604,United States,40.96899,-73.71263,"Kenneth Offit, MD, MPH",646-888-4050,
NCT00582621,colorectal,Memorial Sloan Kettering Cancer Center,RECRUITING,New York,New York,10065,United States,40.71427,-74.00597,"Kenneth Offit, MD, MPH",646-888-4050,
NCT00582621,colorectal,Memorial Sloan Kettering Rockville,RECRUITING,Rockville Centre,New York,11570,United States,40.65871,-73.64124,"Kenneth Offit, MD, MPH",646-888-4050,
NCT00588185,prostate,Memorial Sloan Kettering Basking Ridge (Consent Only),RECRUITING,Basking Ridge,New Jersey,07920,United States,40.70621,-74.54932,"Michael Morris, MD",646-422-4469,
NCT00588185,prostate,Memorial Sloan Kettering Monmouth (Consent only),RECRUITING,Middletown,New Jersey,07748,United States,40.39428,-74.11709,"Michael Morris, MD",646-422-4469,
