tumor_type,tumor_types_matched,nct_id,brief_title,official_title,overall_status,phases,conditions,enrollment_count,enrollment_type,sponsor_name,sponsor_class,eligibility_criteria,min_age,max_age,sex,healthy_volunteers,us_site_count,us_site_count_with_geo,last_update_post_date
colorectal,colorectal,NCT00001823,Evaluation for NCI Surgery Branch Clinical Research Protocols,Evaluation for NCI Surgery Branch Clinical Research Protocols,RECRUITING,,Synovial Cell Cancer|Melanoma|Colorectal Cancer|Lung Cancer|Bladder Cancer,7000,ESTIMATED,National Cancer Institute (NCI),NIH,"* INCLUSION CRITERIA:

Age \>= 18 years.

Patient suspected of having, or with biopsy proven, malignant disease.

Patient is able to understand and willing to sign a written informed consent document.

Patient is being evaluated for treatment on an NCI-SB protocols.

EXCLUSION CRITERIA:

Women of child-bearing potential who are pregnant or plan to become pregnant because of the potentially dangerous effects of some of the screening procedures (e.g., nuclear medicine or other imaging scans) on the fetus.",18 Years,,ALL,False,1,1,2026-08-18
breast,breast,NCT00005095,Specimen and Data Study for Ovarian Cancer Early Detection and Prevention,Northwestern Ovarian Cancer Early Detection & Prevention Program: A Specimen and Data Study,RECRUITING,,"Cervical Cancer|Endometrial Cancer|Fallopian Tube Cancer|Hereditary Breast/Ovarian Cancer (brca1, brca2)|Ovarian Cancer|Sarcoma|Uterine Leiomyomata|Vaginal Cancer|Vulvar Cancer",6000,ESTIMATED,Northwestern University,OTHER,"DISEASE CHARACTERISTICS:

* Meets one of the following criteria:

  * Considered to be at increased risk for developing ovarian cancer, as defined by one of the following:

    * Has at least one first-degree relative (mother, sister, or daughter) with ovarian, primary peritoneal, or fallopian tube cancer
    * Has at least two first or second degree relatives diagnosed before age 50 with either ovarian, primary peritoneal, fallopian tube, and/or pancreatic cancer who have tested positive for hereditary cancer syndrome that includes an increased risk of gynecologic cancer (e.g., BRCA1/2 or Lynch Syndrome)or have increased risk as deemed by a certified genetic counselor
    * A personal or family history of a hereditary cancer syndrome that includes an increased risk of gynecologic cancer
    * Increased risk as deemed by a certified genetic counselor
  * Undergoing surgery for a gynecologic condition, including any of the following:

    * Diagnosis of a reproductive cancer
    * Benign gynecological condition (e.g., uterine leiomyomata, endometriosis, pelvic inflammatory disease, or follicular or corpus luteum ovarian cysts)
    * Highly suspicious adnexal mass
    * Risk-reducing prophylactic oophorectomy

PATIENT CHARACTERISTICS:

Age

* Between the ages of 18 and 80",18 Years,80 Years,FEMALE,True,1,1,2025-02-28
breast,breast|colorectal|prostate,NCT00034216,Collection of Blood From Patients With Cancer,Biospecimen Acquisition From Human Subjects,RECRUITING,,Prostate Cancer|Breast Cancer|Colon Cancer|Lung Cancer|Liver Cancer,1750,ESTIMATED,National Cancer Institute (NCI),NIH,"* INCLUSION CRITERIA:

Patients with a known or suspected malignancy and healthy volunteers 18 years of age and older are eligible.

Performance status of ECOG 0, 1, 2, or 3 for admission to this protocol.

Ability to understand and the willingness to sign a written informed consent document.

INCLUSION FOR APHERESIS:

Note: Effective with Amendment CC, participants will no longer be asked to undergo apheresis. This content is being retained for historical reference.

Hemoglobin greater than or equal to 10 mg/dL and platelet count \> 75,000/mm(3)

Weight greater than 25 kg

HIV negative

Prothrombin Time - within normal limits

Partial Thromboplastin Time - within normal limits

Medically indicated central line in place or adequate peripheral venous access

EXCLUSION CRITERIA:

None.",18 Years,,ALL,True,1,1,2026-08-13
breast,breast,NCT00291096,High Risk Breast Clinic: Protocol for Women at Increased Risk for Developing Breast Cancer,High Risk Breast Clinic: Protocol for Women at Increased Risk for Developing Breast Cancer,RECRUITING,,Breast Cancer,3000,ESTIMATED,"Carol Fabian, MD",OTHER,"Inclusion Criteria:

* women with at least 2 times the normal risk of developing breast cancer
* between the ages of 30-65 (or within 10 years of youngest age at diagnosis in first degree relative)
* greater than six months from ingestion of antihormonal therapy
* greater than 1 year from pregnancy, lactation, or chemotherapy
* willing to have a mammogram within six months prior to RPFNA
* willing to discontinue NSAIDS or herbal supplements
* willing to have blood drawn

Exclusion Criteria:

* no metastatic malignancy of any kind
* no breast implants or tram flap reconstructions
* no radiation to both breasts
* no women who have a current mammogram or clinical breast exam suspicious for cancer",30 Years,65 Years,FEMALE,True,1,1,2025-10-29
nsclc,nsclc,NCT00301119,Lung Cancer Biomarkers and Screening,NYU Lung Cancer Biomarker Center,RECRUITING,,Lung Cancer,3606,ESTIMATED,NYU Langone Health,OTHER,"DISEASE CHARACTERISTICS:

* Screening Cohort

  * At high- or low-risk for lung cancer
  * Smoking history ≥ 20 pack years\*

    * With or without workplace exposure to asbestos
* NOTE: \* Participants with \< 20 pack years of smoking are eligible if 50 years of age or older
* Rule-Out Lung cancer group

  * Referred for evaluation of suspicious nodules with 1 of the following diagnoses:

    * Lung cancer
    * Nonmalignant nodules (control group)

PATIENT CHARACTERISTICS:

* Not pregnant
* No prior malignancy except nonmelanoma skin cancer

PRIOR CONCURRENT THERAPY:

* Not specified",50 Years,,ALL,True,1,1,2026-05-08
breast,breast,NCT00353483,"Effect of Neoadjuvant or Adjuvant Systemic Therapy on Breast Cancers, Bone Marrow Cancer Cells, and Circulating Cancer Cells","Effect of Neoadjuvant or Adjuvant Systemic Therapy on Breast Cancers, Bone Marrow Cancer Cells, and Circulating Cancer Cells",RECRUITING,,Breast Neoplasms,300,ESTIMATED,Washington University School of Medicine,OTHER,"Inclusion Criteria:

* Recently diagnosed with clinical stage II, III, or IV breast cancer
* Planning to undergo neoadjuvant or adjuvant systemic therapy; patients who have already completed neoadjuvant systemic therapy are also eligible
* Must be \>= 18 years of age
* If female, must not be pregnant
* Must not have Hepatitis B, C, or HIV
* Must be willing and able to sign informed consent document",18 Years,,ALL,False,1,1,2025-11-28
breast,breast,NCT00437879,"Ultrasound Imaging, Spectroscopy and Ultrasound Imaging of Vascular Blood Flow as Early Indicators of Breast Cancer Response to Neoadjuvant Treatment.",Pilot Investigation of Ultrasound Imaging and Spectroscopy and Ultrasound Imaging of Vascular Blood Flow as Early Indicators of Breast Cancer Response to Neoadjuvant Treatment,RECRUITING,,Breast Cancer Invasive,600,ESTIMATED,Sunnybrook Health Sciences Centre,OTHER,"INCLUSION CRITERIA:

The following criteria are necessary for study participation:

1. Histologically or cytologically confirmed breast carcinoma, stage I-IV, which has not been treated with any first-line therapy and will be treated with neoadjuvant chemotherapy or neoadjuvant combined chemo-radiotherapy.
2. Measurable disease by ultrasound, or MRI performed within 28 days prior to treatment.
3. Eastern Co-operative Oncology Group (ECOG) Performance Status of 0 or 1.
4. Life expectancy of at least 6 months.
5. Adequate bone marrow, liver and renal function as assessed by the following laboratory. Requirements to be conducted within 7 days prior to dosing:

   (i) hemoglobin \>90 mg/dL (ii) leukocytes \>3,000/mL (iii) absolute neutrophil count \>1,500/mL (iv) platelets \>100,000/mL (v) total bilirubin within normal institutional limits (vi) AST(SGOT)/ALT(SGPT) \<2.5 X institutional upper limit of normal (vii) creatinine within normal institutional limits or creatinine clearance \>60 mL/min/1.73 m2 for patients with creatinine levels above institutional upper limit of normal
6. Patients should have the ability to understand and the willingness to sign a written informed consent document. Signed informed consent must be obtained prior to any study specific procedures.

EXCLUSION CRITERIA

The following conditions will exclude women from participation:

1. Chemotherapy, radiotherapy, or major surgery within 4 weeks prior to registering the study or those who have not recovered from adverse events due to agents administered more than 4 weeks prior to registration.
2. Receiving any other investigational agents.
3. Known brain metastases.
4. History of allergic reactions attributed to compounds of similar chemical or biologic composition.",,,FEMALE,False,0,0,2023-12-12
breast,breast|colorectal|prostate,NCT00451022,Follow-Up Study of Subjects Previously Enrolled in Poxviral Vector Gene Transfer Studies,Follow-Up Study of Subjects Previously Enrolled in Immunotherapy Studies Utilizing Gene Transfer or Other Immunotherapeutic Agents,RECRUITING,,Prostate Cancer|Liver Cancer|Breast Cancer|Colon Cancer|Lung Cancer,750,ESTIMATED,National Cancer Institute (NCI),NIH,"* INCLUSION CRITERIA:
* Subjects who received poxviral vectors (vaccinia and/or fowlpox) or other vaccines utilizing gene transfer or any other immunotherapeutic agent through GMB, UOB and LTIB affiliated trials at the National Cancer Institute, as well as subjects at extramural sites receiving these agents as part of a multi-site trial. Available stored specimens obtained from NCI participants in GMB, UOB, and LTIB affiliated protocols may be transferred to this protocol for storage and eventual future research use.
* Subjects must be \>= 18 years of age.

EXCLUSION CRITERIA:

Participants unwilling to participate.

(Please note, participants may participate in this protocol and, at the same time, participate in an active treatment or continuing care study.)",18 Years,,ALL,True,1,1,2026-06-05
nsclc,nsclc,NCT00471978,DNA Analysis of Blood and Tissue from Patients with Lung Cancer,Molecular and Genetic Analysis of Lung Cancer,RECRUITING,,Lung Cancer,,,Massachusetts General Hospital,OTHER,"DISEASE CHARACTERISTICS:

* Patient:

  * Newly diagnosed primary lung cancer

    * Patient at Massachusetts General Hospital (MGH) or Boston Medical Center Cancer Center

PATIENT CHARACTERISTICS:

* Not specified

PRIOR CONCURRENT THERAPY:

* Not specified

EXCLUSIONS:

Vulnerable populations are excluded. Patients with metastasis from another site to lung or mesothelioma are excluded.",18 Years,120 Years,ALL,True,2,2,2024-11-29
breast,breast,NCT00477100,Biospecimen and Medical Data Collection and Tumor Biopsy in Creating Research Tissue Registry in Patients With Inflammatory or Invasive Breast Cancer,Inflammatory Breast Cancer (IBC) Registry,RECRUITING,,Inflammatory Breast Carcinoma|Invasive Breast Carcinoma|Second Primary Malignant Neoplasm,1200,ESTIMATED,M.D. Anderson Cancer Center,OTHER,"Inclusion Criteria:

* Patients with clinical diagnosis of primary inflammatory breast cancer (IBC), second primary IBC, or highly suspicious for IBC (MD Anderson patients only).
* Histological diagnosis of invasive breast cancer, or highly suspicious for IBC (MD Anderson patients only) but pending breast cancer diagnosis.
* Be either newly diagnosed, or highly suspicious for IBC (MD Anderson patients only) \[Cohort I\] or have paraffin blocks or up to 20 unstained slides of each representative block(s) from the time of initial diagnosis of IBC(i.e. core biopsy and punch biopsy) and/or from mastectomy (Cohort II-MD Anderson patients only)
* Age \> 18 years
* Able to provide informed consent

Exclusion Criteria:",18 Years,,ALL,False,10,10,2026-04-15
