nct_id,facility,status,city,state,zip,lat,lon,x,y,contact_name,contact_phone,contact_email
NCT00001823,National Institutes of Health Clinical Center,RECRUITING,Bethesda,Maryland,20892,38.98067,-77.10026,757.5,259.6,For more information at the NIH Clinical Center contact National Cancer Institute Referral Office,888-624-1937,
NCT00005095,Robert H. Lurie Comprehensive Cancer Center at Northwestern University,RECRUITING,Chicago,Illinois,60611-3013,41.85003,-87.65005,602.7,227.4,Clinical Trials Office - Robert H. Lurie Comprehensive Cancer,312-695-1301,cancer@northwestern.edu
NCT00034216,National Institutes of Health Clinical Center,RECRUITING,Bethesda,Maryland,20892,38.98067,-77.10026,757.5,259.6,National Cancer Institute Referral Office,888-624-1937,ncimo_referrals@mail.nih.gov
NCT00291096,University of Kansas Medical Center,RECRUITING,Kansas City,Kansas,66160,39.11417,-94.62746,507.2,283.8,"Carol J Fabian, MD",,
NCT00301119,NYU Cancer Institute at New York University Medical Center,RECRUITING,New York,New York,10016,40.71427,-74.00597,793.4,218.3,"James J. Tsay, MD, MSc",212-598-6351,Jun-Chieh.Tsay@nyulangone.org
NCT00353483,Washington University School of Medicine,RECRUITING,St Louis,Missouri,63119,38.62727,-90.19789,571.3,290.6,"Rebecca Aft, MD, PhD",314-747-0063,aftr@wustl.edu
NCT00451022,National Institutes of Health Clinical Center,RECRUITING,Bethesda,Maryland,20892,38.98067,-77.10026,757.5,259.6,For more information at the NIH Clinical Center contact Office of Patient Recruitment (OPR),800-411-1222,ccopr@nih.gov
NCT00471978,Massachusetts General Hospital,RECRUITING,Boston,Massachusetts,02114,42.35843,-71.05977,825.5,178.3,Clinical Trials Office - Massachusetts General Hospital,877-726-5130,
NCT00471978,Harvard School of Public Health,RECRUITING,Boston,Massachusetts,02115,42.35843,-71.05977,825.5,178.3,"David C. Christiani, MD",617-726-9274,
NCT00477100,Banner - MD Anderson Cancer Center,RECRUITING,Gilbert,Arizona,85234,33.35283,-111.78903,244.0,372.3,"Shakeela Bahadur, MD",480-256-6444,shakeela.bahadur@bannerhealth.com
NCT00477100,Scripps - MD Anderson Cancer Center,ACTIVE_NOT_RECRUITING,La Jolla,California,92037,32.84727,-117.2742,158.5,365.1,,,
NCT00477100,Banner - MD Anderson Cancer Center - Northern Colorado,RECRUITING,Greeley,Colorado,80631,40.42331,-104.70913,364.9,253.7,"Esther Mondo, MD",970-820-5958,Esther.Mondo@BannerHealth.com
NCT00477100,Baptist - MD Anderson Cancer Center,RECRUITING,Jacksonville,Florida,32207,30.33218,-81.65565,717.4,431.8,"Cynthia Anderson, MD",904-202-7300,cynthia.anderson@bmcjax.com
NCT00477100,Covenant Medical Center,ACTIVE_NOT_RECRUITING,Saginaw,Michigan,48604,43.41947,-83.95081,649.7,192.7,,,
NCT00477100,M D Anderson Cancer Center,RECRUITING,Houston,Texas,77030,29.76328,-95.36327,497.8,459.8,Vicente Valero,713-563-0751,vvalero@mdanderson.org
NCT00477100,MD Anderson in Katy,RECRUITING,Houston,Texas,77094,29.76328,-95.36327,497.8,459.8,Vicente Valero,713-563-0751,vvalero@mdanderson.org
NCT00477100,MD Anderson League City,RECRUITING,Nassau Bay,Texas,77058,29.54468,-95.09104,502.3,463.9,Vicente Valero,713-563-0751,vvalero@mdanderson.org
NCT00477100,MD Anderson in Sugar Land,RECRUITING,Sugar Land,Texas,77478,29.61968,-95.63495,493.4,462.5,Vicente Valero,713-560-0751,vvalero@mdanderson.org
NCT00477100,MD Anderson in The Woodlands,RECRUITING,The Woodlands,Texas,77384,30.15799,-95.48938,495.7,452.4,Vicente Valero,713-563-0751,vvalero@mdanderson.org
NCT00582621,Memorial Sloan Kettering Basking Ridge,RECRUITING,Basking Ridge,New Jersey,07920,40.70621,-74.54932,786.0,220.2,"Kenneth Offit, MD, MPH",646-888-4050,
NCT00582621,Memorial Sloan Kettering Monmouth,RECRUITING,Middletown,New Jersey,07748,40.39428,-74.11709,793.3,224.5,"Kenneth Offit, MD, MPH",646-888-4050,
NCT00582621,Memorial Sloan Kettering Commack,RECRUITING,Commack,New York,11725,40.84288,-73.29289,802.6,213.6,"Kenneth Offit, MD, MPH",646-888-4050,
NCT00582621,Memorial Sloan Kettering Westchester,RECRUITING,Harrison,New York,10604,40.96899,-73.71263,796.3,212.7,"Kenneth Offit, MD, MPH",646-888-4050,
NCT00582621,Memorial Sloan Kettering Cancer Center,RECRUITING,New York,New York,10065,40.71427,-74.00597,793.4,218.3,"Kenneth Offit, MD, MPH",646-888-4050,
NCT00582621,Memorial Sloan Kettering Rockville,RECRUITING,Rockville Centre,New York,11570,40.65871,-73.64124,798.7,218.1,"Kenneth Offit, MD, MPH",646-888-4050,
NCT00588185,Memorial Sloan Kettering Basking Ridge (Consent Only),RECRUITING,Basking Ridge,New Jersey,07920,40.70621,-74.54932,786.0,220.2,"Michael Morris, MD",646-422-4469,
NCT00588185,Memorial Sloan Kettering Monmouth (Consent only),RECRUITING,Middletown,New Jersey,07748,40.39428,-74.11709,793.3,224.5,"Michael Morris, MD",646-422-4469,
NCT00588185,Memorial Sloan Kettering Bergen (Consent Only),RECRUITING,Montvale,New Jersey,07645,41.04676,-74.02292,791.8,212.2,"Michael Morris, MD",646-422-4469,
NCT00588185,Memorial Sloan Kettering Commack (Consent only),RECRUITING,Commack,New York,11725,40.84288,-73.29289,802.6,213.6,"Michael Morris, MD",646-422-4469,
NCT00588185,Memorial Sloan Kettering Westchester (Consent only),RECRUITING,Harrison,New York,10604,40.96899,-73.71263,796.3,212.7,"Michael Morris, MD",646-422-4469,
NCT00588185,Memorial Sloan Kettering Cancer Center,RECRUITING,New York,New York,10065,40.71427,-74.00597,793.4,218.3,"Michael Morris, M.D., Ph,D.",646-422-4469,
NCT00588185,Memorial Sloan Kettering Nassau (Consent Only),RECRUITING,Uniondale,New York,11553,40.70038,-73.59291,799.1,217.2,"Michael Morris, MD",646-422-4469,
NCT00682032,James Graham Brown Cancer Center,RECRUITING,Louisville,Kentucky,40202,38.25424,-85.75941,635.9,292.2,"Goetz H Kloecker, MD",,
NCT00756665,Veterans Affairs San Francisco Health Care System,RECRUITING,San Francisco,California,94121,37.77493,-122.41942,106.3,255.9,Kristy Li,415-502-0696,Kristy.li@va.gov
NCT00756665,"University of California, San Francisco",RECRUITING,San Francisco,California,94143,37.77493,-122.41942,106.3,255.9,Imelda Tenggara-Hunter,415-353-7348,Imelda.Tenggara@ucsf.edu
NCT00756665,Stanford University,RECRUITING,Stanford,California,94305,37.42411,-122.16608,108.0,263.3,Ned Realiza,650.498.8496,nrealiza@stanford.edu
NCT00756665,Emory University,RECRUITING,Atlanta,Georgia,30322,33.749,-84.38798,666.1,374.2,Regan Bates,404-251-0636,regan.renee.bates@emory.edu
NCT00756665,Beth Israel Deaconess Medical Center/Harvard Medical School,RECRUITING,Boston,Massachusetts,02215,42.35843,-71.05977,825.5,178.3,Gabriela NietoBlanco,(617) 632-1047,gnietobl@bidmc.harvard.edu
NCT00756665,University of Michigan,RECRUITING,Ann Arbor,Michigan,48105,42.27756,-83.74088,655.3,213.6,Amy Kasputis,734-647-3411,amgursky@med.umich.edu
NCT00756665,"University of Texas Health Science Center, San Antonio",RECRUITING,San Antonio,Texas,78229,29.42412,-98.49363,446.9,465.7,Rafael Sanchez,210-450-8272,sanchezr17@uthscsa.edu
NCT00756665,Eastern Virginia Medical School,RECRUITING,Norfolk,Virginia,23502,36.84681,-76.28522,777.2,296.6,Amuktha Polkampally,757-452-3462,apolkampally@urologyofva.net
NCT00756665,Veterans Affairs Puget Sound Health Care System,RECRUITING,Seattle,Washington,98108,47.60621,-122.33207,157.9,78.9,Branda Levchak,206-277-4760,Branda.Levchak@va.gov
NCT00756665,University of Washington,RECRUITING,Seattle,Washington,98195,47.60621,-122.33207,157.9,78.9,Chenee Holcomb,206-598-0850,cnh3@uw.edu
NCT00823654,Memorial Sloan Kettering Basking Ridge,RECRUITING,Basking Ridge,New Jersey,,40.70621,-74.54932,786.0,220.2,"Shari Goldfarb, MD",646-888-5080,
NCT00823654,Memorial Sloan Kettering Monmouth,RECRUITING,Middletown,New Jersey,07748,40.39428,-74.11709,793.3,224.5,"Shari Goldfarb, MD",646-888-5080,
NCT00823654,Memorial Sloan Kettering Bergen,RECRUITING,Montvale,New Jersey,07645,41.04676,-74.02292,791.8,212.2,"Shari Goldfarb, MD",646-888-5080,
NCT00823654,Memorial Sloan Kettering Commack,RECRUITING,Commack,New York,11725,40.84288,-73.29289,802.6,213.6,"Shari Goldfarb, MD",646-888-5080,
NCT00823654,Memorial Sloan Kettering Westchester,RECRUITING,Harrison,New York,10604,40.96899,-73.71263,796.3,212.7,"Shari Goldfarb, MD",646-888-5080,
NCT00823654,Memorial Sloan Kettering Cancer Center,RECRUITING,New York,New York,10065,40.71427,-74.00597,793.4,218.3,"Shari Goldfarb, MD",646-888-5080,
NCT00823654,New York Presbyterian Hospital-Weill Medical College of Cornell University,ACTIVE_NOT_RECRUITING,New York,New York,10065,40.71427,-74.00597,793.4,218.3,,,
NCT00823654,Memorial Sloan Kettering Nassau,RECRUITING,Uniondale,New York,11553,40.70038,-73.59291,799.1,217.2,"Shari Goldfarb, MD",646-888-5080,
NCT00843375,Cedars-Sinai Medical Center,RECRUITING,Los Angeles,California,90048,34.05223,-118.24368,149.0,339.6,Karen Zaghiyan,310-289-9224,Karen.Zaghiyan@cshs.org
NCT00843375,Carle Cancer Center,COMPLETED,Urbana,Illinois,61801,40.11059,-88.20727,597.7,260.7,,,
NCT00843375,Dana Farber Cancer Institute,RECRUITING,Boston,Massachusetts,02215,42.35843,-71.05977,825.5,178.3,"Sapna Syngal, MD",,
NCT00843375,University of Michigan,RECRUITING,Ann Arbor,Michigan,48109,42.27756,-83.74088,655.3,213.6,Cancer AnswerLine,800-865-1125,CancerAnswerLine@med.umich.edu
NCT00843375,University of Minnesota,RECRUITING,Minneapolis,Minnesota,55455,44.97997,-93.26384,523.6,173.2,"Tim Church, MD",,
NCT00843375,NYU Langone Health,RECRUITING,New York,New York,10016,40.71427,-74.00597,793.4,218.3,"Aasma Shaukatr, MD",212-686-2500,Shaukat@nyulangone.org
NCT00843375,University of North Carolina,COMPLETED,Chapel Hill,North Carolina,27599,35.9132,-79.05584,740.1,321.8,,,
NCT00843375,Oregon Health and Science University,RECRUITING,Portland,Oregon,97239,45.52345,-122.67621,143.0,114.9,Seth Crockett,919-962-2608,crockese@ohsu.edu
NCT00843375,Hershey Medical Center,COMPLETED,Hershey,Pennsylvania,17033,40.28592,-76.65025,758.8,234.2,,,
NCT00843375,M.D. Anderson Cancer Center,RECRUITING,Houston,Texas,77030,29.76328,-95.36327,497.8,459.8,"Robert Bresalier, MD",,
NCT00843375,University of Washington,RECRUITING,Seattle,Washington,98195,47.60621,-122.33207,157.9,78.9,"William Grady, MD",,
NCT00897117,Dan Rudy Cancer Center at Saint Thomas Hospital,COMPLETED,Nashville,Tennessee,37205,36.16589,-86.78444,624.9,332.9,,,
NCT00897117,Veterans Affairs Medical Center - Nashville,SUSPENDED,Nashville,Tennessee,37212,36.16589,-86.78444,624.9,332.9,,,
NCT00897117,Vanderbilt-Ingram Cancer Center,RECRUITING,Nashville,Tennessee,37232-6838,36.16589,-86.78444,624.9,332.9,Clinical Trials Office - Vanderbilt-Ingram Cancer Center,800-811-8480,
NCT00898131,Robert H. Lurie Comprehensive Cancer Center at Northwestern University,RECRUITING,Chicago,Illinois,60611-3013,41.85003,-87.65005,602.7,227.4,Clinical Trials Office - Robert H. Lurie Comprehensive Cancer,312-695-1301,cancer@northwestern.edu
NCT00899301,Vanderbilt-Ingram Cancer Center,RECRUITING,Nashville,Tennessee,37232-6838,36.16589,-86.78444,624.9,332.9,Clinical Trials Office - Vanderbilt-Ingram Cancer Center,800-811-8480,
NCT00899626,Veterans Affairs Medical Center - Nashville,RECRUITING,Nashville,Tennessee,37212,36.16589,-86.78444,624.9,332.9,Clinical Trials Office - Veterans Affairs Medical Center - Nas,615-327-4751,
NCT00899626,Vanderbilt-Ingram Cancer Center,RECRUITING,Nashville,Tennessee,37232-6838,36.16589,-86.78444,624.9,332.9,Clinical Trials Office - Vanderbilt-Ingram Cancer Center,800-811-8480,
NCT00900419,University of Colorado Cancer Center at UC Health Sciences Center,RECRUITING,Aurora,Colorado,80045,39.72943,-104.83192,362.0,266.6,Clinical Trials Office - University of Colorado Cancer Center,303-724-1657,
NCT00923221,National Institutes of Health Clinical Center,RECRUITING,Bethesda,Maryland,20892,38.98067,-77.10026,757.5,259.6,,,
NCT00949819,University of California Los Angeles,RECRUITING,Los Angeles,California,90095,34.05223,-118.24368,149.0,339.6,"Leonard S Marks, M.D.",,
NCT00969111,Proton Center of Arkansas,RECRUITING,Little Rock,Arkansas,72205,34.74648,-92.28959,544.0,365.2,Monica Coleman,501-686-8274,mmcoleman@uams.edu
NCT00969111,University of Florida Proton Therapy Institute,RECRUITING,Jacksonville,Florida,32206,30.33218,-81.65565,717.4,431.8,Intake Coordinator,877-686-6009,
NCT00969111,Northwestern Medicine Chicago Proton Center,RECRUITING,Warrenville,Illinois,60555,41.81781,-88.1734,595.5,228.6,"Don Smith, MS, CCRC",630-933-7820,donald.smith3@nm.org
NCT00969111,McLaren Proton Therapy Center,RECRUITING,Flint,Michigan,48532,43.01253,-83.68746,654.2,199.8,Stacy Freeman,313-576-8495,freemans@karmanos.org
NCT00969111,Mercy David C. Pratt Cancer Center,RECRUITING,St Louis,Missouri,63141,38.62727,-90.19789,571.3,290.6,Nancy Umbeck,314-251-7066,nancy.umbeck@mercy.net
NCT00969111,Inova Schar Cancer Institute,RECRUITING,Fairfax,Virginia,22031,38.84622,-77.30637,755.0,262.6,Sangeetha Moturi,571-472-0343,sangeetha.moturi@inova.org
NCT00991094,M D Anderson Cancer Center,RECRUITING,Houston,Texas,77030,29.76328,-95.36327,497.8,459.8,Steven J. Frank,713-563-2300,
NCT01000883,Lineberger Comprehensive Cancer Center at University of North Carolina - Chapel Hill,RECRUITING,Chapel Hill,North Carolina,27599-7295,35.9132,-79.05584,740.1,321.8,Clinical Trials Office - Lineberger Comprehensive Cancer Cente,877-668-0683,
