nct_id,brief_title,official_title,overall_status,phases,conditions,enrollment_count,sponsor_name,sponsor_class,eligibility_criteria,min_age,max_age,sex,tumor_types_matched,us_site_count
NCT00001823,Evaluation for NCI Surgery Branch Clinical Research Protocols,Evaluation for NCI Surgery Branch Clinical Research Protocols,RECRUITING,,Synovial Cell Cancer|Melanoma|Colorectal Cancer|Lung Cancer|Bladder Cancer,7000,National Cancer Institute (NCI),NIH,"* INCLUSION CRITERIA:

Age \>= 18 years.

Patient suspected of having, or with biopsy proven, malignant disease.

Patient is able to understand and willing to sign a written informed consent document.

Patient is being evaluated for treatment on an NCI-SB protocols.

EXCLUSION CRITERIA:

Women of child-bearing potential who are pregnant or plan to become pregnant because of the potentially dangerous effects of some of the screening procedures (e.g., nuclear medicine or other imaging scans) on the fetus.",18 Years,,ALL,colorectal,1
NCT00005095,Specimen and Data Study for Ovarian Cancer Early Detection and Prevention,Northwestern Ovarian Cancer Early Detection & Prevention Program: A Specimen and Data Study,RECRUITING,,"Cervical Cancer|Endometrial Cancer|Fallopian Tube Cancer|Hereditary Breast/Ovarian Cancer (brca1, brca2)|Ovarian Cancer|Sarcoma|Uterine Leiomyomata|Vaginal Cancer|Vulvar Cancer",6000,Northwestern University,OTHER,"DISEASE CHARACTERISTICS:

* Meets one of the following criteria:

  * Considered to be at increased risk for developing ovarian cancer, as defined by one of the following:

    * Has at least one first-degree relative (mother, sister, or daughter) with ovarian, primary peritoneal, or fallopian tube cancer
    * Has at least two first or second degree relatives diagnosed before age 50 with either ovarian, primary peritoneal, fallopian tube, and/or pancreatic cancer who have tested positive for hereditary cancer syndrome that includes an increased risk of gynecologic cancer (e.g., BRCA1/2 or Lynch Syndrome)or have increased risk as deemed by a certified genetic counselor
    * A personal or family history of a hereditary cancer syndrome that includes an increased risk of gynecologic cancer
    * Increased risk as deemed by a certified genetic counselor
  * Undergoing surgery for a gynecologic condition, including any of the following:

    * Diagnosis of a reproductive cancer
    * Benign gynecological condition (e.g., uterine leiomyomata, endometriosis, pelvic inflammatory disease, or follicular or corpus luteum ovarian cysts)
    * Highly suspicious adnexal mass
    * Risk-reducing prophylactic oophorectomy

PATIENT CHARACTERISTICS:

Age

* Between the ages of 18 and 80",18 Years,80 Years,FEMALE,breast,1
NCT00034216,Collection of Blood From Patients With Cancer,Biospecimen Acquisition From Human Subjects,RECRUITING,,Prostate Cancer|Breast Cancer|Colon Cancer|Lung Cancer|Liver Cancer,1750,National Cancer Institute (NCI),NIH,"* INCLUSION CRITERIA:

Patients with a known or suspected malignancy and healthy volunteers 18 years of age and older are eligible.

Performance status of ECOG 0, 1, 2, or 3 for admission to this protocol.

Ability to understand and the willingness to sign a written informed consent document.

INCLUSION FOR APHERESIS:

Note: Effective with Amendment CC, participants will no longer be asked to undergo apheresis. This content is being retained for historical reference.

Hemoglobin greater than or equal to 10 mg/dL and platelet count \> 75,000/mm(3)

Weight greater than 25 kg

HIV negative

Prothrombin Time - within normal limits

Partial Thromboplastin Time - within normal limits

Medically indicated central line in place or adequate peripheral venous access

EXCLUSION CRITERIA:

None.",18 Years,,ALL,breast|colorectal|prostate,1
NCT00291096,High Risk Breast Clinic: Protocol for Women at Increased Risk for Developing Breast Cancer,High Risk Breast Clinic: Protocol for Women at Increased Risk for Developing Breast Cancer,RECRUITING,,Breast Cancer,3000,"Carol Fabian, MD",OTHER,"Inclusion Criteria:

* women with at least 2 times the normal risk of developing breast cancer
* between the ages of 30-65 (or within 10 years of youngest age at diagnosis in first degree relative)
* greater than six months from ingestion of antihormonal therapy
* greater than 1 year from pregnancy, lactation, or chemotherapy
* willing to have a mammogram within six months prior to RPFNA
* willing to discontinue NSAIDS or herbal supplements
* willing to have blood drawn

Exclusion Criteria:

* no metastatic malignancy of any kind
* no breast implants or tram flap reconstructions
* no radiation to both breasts
* no women who have a current mammogram or clinical breast exam suspicious for cancer",30 Years,65 Years,FEMALE,breast,1
NCT00301119,Lung Cancer Biomarkers and Screening,NYU Lung Cancer Biomarker Center,RECRUITING,,Lung Cancer,3606,NYU Langone Health,OTHER,"DISEASE CHARACTERISTICS:

* Screening Cohort

  * At high- or low-risk for lung cancer
  * Smoking history ≥ 20 pack years\*

    * With or without workplace exposure to asbestos
* NOTE: \* Participants with \< 20 pack years of smoking are eligible if 50 years of age or older
* Rule-Out Lung cancer group

  * Referred for evaluation of suspicious nodules with 1 of the following diagnoses:

    * Lung cancer
    * Nonmalignant nodules (control group)

PATIENT CHARACTERISTICS:

* Not pregnant
* No prior malignancy except nonmelanoma skin cancer

PRIOR CONCURRENT THERAPY:

* Not specified",50 Years,,ALL,nsclc,1
NCT00353483,"Effect of Neoadjuvant or Adjuvant Systemic Therapy on Breast Cancers, Bone Marrow Cancer Cells, and Circulating Cancer Cells","Effect of Neoadjuvant or Adjuvant Systemic Therapy on Breast Cancers, Bone Marrow Cancer Cells, and Circulating Cancer Cells",RECRUITING,,Breast Neoplasms,300,Washington University School of Medicine,OTHER,"Inclusion Criteria:

* Recently diagnosed with clinical stage II, III, or IV breast cancer
* Planning to undergo neoadjuvant or adjuvant systemic therapy; patients who have already completed neoadjuvant systemic therapy are also eligible
* Must be \>= 18 years of age
* If female, must not be pregnant
* Must not have Hepatitis B, C, or HIV
* Must be willing and able to sign informed consent document",18 Years,,ALL,breast,1
NCT00451022,Follow-Up Study of Subjects Previously Enrolled in Poxviral Vector Gene Transfer Studies,Follow-Up Study of Subjects Previously Enrolled in Immunotherapy Studies Utilizing Gene Transfer or Other Immunotherapeutic Agents,RECRUITING,,Prostate Cancer|Liver Cancer|Breast Cancer|Colon Cancer|Lung Cancer,750,National Cancer Institute (NCI),NIH,"* INCLUSION CRITERIA:
* Subjects who received poxviral vectors (vaccinia and/or fowlpox) or other vaccines utilizing gene transfer or any other immunotherapeutic agent through GMB, UOB and LTIB affiliated trials at the National Cancer Institute, as well as subjects at extramural sites receiving these agents as part of a multi-site trial. Available stored specimens obtained from NCI participants in GMB, UOB, and LTIB affiliated protocols may be transferred to this protocol for storage and eventual future research use.
* Subjects must be \>= 18 years of age.

EXCLUSION CRITERIA:

Participants unwilling to participate.

(Please note, participants may participate in this protocol and, at the same time, participate in an active treatment or continuing care study.)",18 Years,,ALL,breast|colorectal|prostate,1
NCT00471978,DNA Analysis of Blood and Tissue from Patients with Lung Cancer,Molecular and Genetic Analysis of Lung Cancer,RECRUITING,,Lung Cancer,,Massachusetts General Hospital,OTHER,"DISEASE CHARACTERISTICS:

* Patient:

  * Newly diagnosed primary lung cancer

    * Patient at Massachusetts General Hospital (MGH) or Boston Medical Center Cancer Center

PATIENT CHARACTERISTICS:

* Not specified

PRIOR CONCURRENT THERAPY:

* Not specified

EXCLUSIONS:

Vulnerable populations are excluded. Patients with metastasis from another site to lung or mesothelioma are excluded.",18 Years,120 Years,ALL,nsclc,2
NCT00477100,Biospecimen and Medical Data Collection and Tumor Biopsy in Creating Research Tissue Registry in Patients With Inflammatory or Invasive Breast Cancer,Inflammatory Breast Cancer (IBC) Registry,RECRUITING,,Inflammatory Breast Carcinoma|Invasive Breast Carcinoma|Second Primary Malignant Neoplasm,1200,M.D. Anderson Cancer Center,OTHER,"Inclusion Criteria:

* Patients with clinical diagnosis of primary inflammatory breast cancer (IBC), second primary IBC, or highly suspicious for IBC (MD Anderson patients only).
* Histological diagnosis of invasive breast cancer, or highly suspicious for IBC (MD Anderson patients only) but pending breast cancer diagnosis.
* Be either newly diagnosed, or highly suspicious for IBC (MD Anderson patients only) \[Cohort I\] or have paraffin blocks or up to 20 unstained slides of each representative block(s) from the time of initial diagnosis of IBC(i.e. core biopsy and punch biopsy) and/or from mastectomy (Cohort II-MD Anderson patients only)
* Age \> 18 years
* Able to provide informed consent

Exclusion Criteria:",18 Years,,ALL,breast,10
NCT00582621,Ascertainment of Families for Genetic Studies of Familial Lymphoproliferative Disorders,Ascertainment of Families for Genetic Studies of Familial Lymphoproliferative Disorders,RECRUITING,,Lymphoma|Leukemia|Multiple Myeloma|Colon Cancer|Renal Cancer,500,Memorial Sloan Kettering Cancer Center,OTHER,"Inclusion Criteria:

* Individuals with a personal and/or family history of lymphoma or lymphoproliferative disease B-cell malignancies, or multiple myeloma referred for study participation, or MSK patients referred from to the MSKCC outpatient clinics of the Lymphoma, Multiple Myeloma, or Leukemia Services in the Department of Medicine in consultation for treatment who are found on routine history or through a Family History Questionnaire (FHQ) (Appendix A). Individuals who have relatives or members of successive generations of the family affected with Hodgkin's disease, non-Hodgkin's lymphoma, lymphoid leukemia, multiple myeloma other lymphoproliferative disease prostate or pancreatic cancers, or other conditions suggesting hereditary cancer at the discretion of the MSKCC Principal Investigator. Patients with lymphoma, associated with colon and renal cancer will be eligible for DNA storage through this protocol. Family members or probands with Hodgkin's disease who are women who received therapeutic irradiation for Hodgkin's disease"" or who developed secondary cancers after Hodgkin's disease are also eligible for participation.
* The criteria for eligibility are broad because the ascertainment by the computerized FHQ does not allow for resolution of different types of lymphoma or different types of leukemia. Patient recall of this information is also imprecise. More accurate family history information will be obtained upon contact of family members and diagnoses will be verified by obtaining pathologic documentation. The spectrum of familial lymphoproliferative syndromes (LPS) may include all types of lymphoma as well as chronic lymphocytic leukemia. This is an additional reason to have a broad eligibility. Subset analysis will be performed on specific types of lymphoid neoplasms. DNA of patients with a family history of lymphoma who have consented to protocol 93-102 (""Ascertainment of Peripheral Blood or Saliva Samples for Genetic Epidemiology Studies of Familial Cancers"") will also be eligible for inclusion in this study.
* Family members of probands including patients, sisters, brothers, halfbrothers and sisters, sons, daughters, grandparents, as well as aunts and uncles are also eligible. An effort will be made to ascertain all living affected and unaffected living relatives in the affected lineage. An emphasis will be on affected sibling pairs and both parents, if alive.
* As this study involves research that presents no greater than minimal risk to children (see Sec. 46.404 of Federal Regulations part 46), minors are also eligible for participation. The assent of any minor should be obtained before the patient is enrolled into this study, as well as the consent of the legal guardian.

Exclusion Criteria:

* N/A",,,ALL,colorectal,6
